# sample_index	input	output
0	12	12
1	45	45
2	61	61
3	42	42
4	34	34
5	25	25
6	55	55
7	961	961
8	140	140
9	86	86
10	300	300
11	100	100
12	206	206
13	304	304
14	106	106
15	261	261
16	117	117
17	424	424
18	150	150
19	25	25
20	44	44
21	105	105
22	766	766
23	225	225
24	117	117
25	116	116
26	92	92
27	41	41
28	731	731
29	49	49
30	7	7
31	115	115
32	35	35
33	94	94
34	36	36
35	130	130
36	341	341
37	67	67
38	51	51
39	63	63
40	321	321
41	71	71
42	19	19
43	273	273
44	196	196
45	421	421
46	134	134
47	300	300
48	108	108
49	408	408
50	104	104
51	110	110
52	22	22
53	515	515
54	74	74
55	256	256
56	629	629
57	361	361
58	424	424
59	126	126
60	489	489
61	223	223
62	665	665
63	22	22
64	174	174
65	23	23
66	160	160
67	25	25
68	152	152
69	47	47
70	938	938
71	548	548
72	133	133
73	58	58
74	82	82
75	303	303
76	54	54
77	4	4
78	271	271
79	156	156
80	35	35
81	247	247
82	29	29
83	108	108
84	218	218
85	52	52
86	34	34
87	66	66
88	197	197
89	65	65
90	57	57
91	337	337
92	13	13
93	18	18
94	54	54
95	222	222
96	795	795
97	110	110
98	575	575
99	256	256
100	24	24
101	104	104
102	188	188
103	275	275
104	21	21
105	267	267
106	348	348
107	923	923
108	22	22
109	94	94
110	159	159
111	401	401
112	58	58
113	1	1
114	286	286
115	396	396
116	203	203
117	410	410
118	25	25
119	280	280
120	234	234
121	65	65
122	164	164
123	9	9
124	834	834
125	362	362
126	84	84
127	257	257
128	178	178
129	581	581
130	66	66
131	28	28
132	124	124
133	205	205
134	400	400
135	99	99
136	77	77
137	78	78
138	29	29
139	316	316
140	160	160
141	124	124
142	241	241
143	41	41
144	161	161
145	863	863
146	429	429
147	117	117
148	54	54
149	136	136
150	308	308
151	976	976
152	556	556
153	577	577
154	141	141
155	110	110
156	348	348
157	43	43
158	184	184
159	120	120
160	40	40
161	95	95
162	16	16
163	107	107
164	45	45
165	59	59
166	296	296
167	359	359
168	235	235
169	354	354
170	92	92
171	241	241
172	98	98
173	3	3
174	63	63
175	15	15
